restaurant,category,name,calories,carbs,fat
A&W Restaurants,Drinks,A&W® Diet Root Beer,0,0,0
A&W Restaurants,Drinks,A&W® Diet Root Beer,0,0,0
A&W Restaurants,Drinks,A&W® Diet Root Beer,0,0,0
A&W Restaurants,Drinks,A&W® Diet Root Beer,0,0,0
A&W Restaurants,Drinks,A&W® Diet Root Beer,0,0,0
A&W Restaurants,Drinks,A&W® Diet Root Beer,0,0,0
A&W Restaurants,Shakes,A&W® Diet Root Beer Float (large),350,60,10
A&W Restaurants,Shakes,A&W® Diet Root Beer Float (medium),170,30,5
A&W Restaurants,Shakes,A&W® Diet Root Beer Float (small),170,30,5
A&W Restaurants,Shakes,A&W® Diet Root Beer Freeze (large),600,92,18
A&W Restaurants,Shakes,A&W® Diet Root Beer Freeze (medium),340,53,10
A&W Restaurants,Shakes,A&W® Diet Root Beer Freeze (small),260,39,8
A&W Restaurants,Drinks,A&W® Root Beer,160,43,0
A&W Restaurants,Drinks,A&W® Root Beer,220,58,0
A&W Restaurants,Drinks,A&W® Root Beer,270,72,0
A&W Restaurants,Drinks,A&W® Root Beer,440,116,0
A&W Restaurants,Drinks,A&W® Root Beer,880,232,0
A&W Restaurants,Drinks,A&W® Root Beer,1760,464,0
A&W Restaurants,Shakes,A&W® Root Beer Float (large),640,136,10
A&W Restaurants,Shakes,A&W® Root Beer Float (medium),350,77,5
A&W Restaurants,Shakes,A&W® Root Beer Float (small),330,70,5
A&W Restaurants,Shakes,A&W® Root Beer Freeze (large),820,150,18
A&W Restaurants,Shakes,A&W® Root Beer Freeze (medium),480,89,10
A&W Restaurants,Shakes,A&W® Root Beer Freeze (small),370,68,8
A&W Restaurants,Drinks,Blue Raspberry Slushee,270,67,0
A&W Restaurants,Drinks,Blue Raspberry Slushee,370,91,0
A&W Restaurants,Drinks,Blue Raspberry Slushee,570,142,0
A&W Restaurants,Drinks,Blue Raspberry Slushee,740,182,0
A&W Restaurants,Sides,Breaded Onion Rings (Large),480,62,27
A&W Restaurants,Sides,Breaded Onion Rings (Regular),350,45,16
A&W Restaurants,Desserts,Caramel Sundae,340,57,9
A&W Restaurants,Sides,Cheese Curds (Large),1140,54,80
A&W Restaurants,Sides,Cheese Curds (Regular),570,27,40
A&W Restaurants,Entrees,Cheese Dog,350,26,22
A&W Restaurants,French Fries,Cheese Fries,390,50,18
A&W Restaurants,Burgers,Cheeseburger,420,37,21
A&W Restaurants,Drinks,Cherry Limeade,190,51,0
A&W Restaurants,Drinks,Cherry Limeade,300,79,0
A&W Restaurants,Drinks,Cherry Limeade,340,90,0
A&W Restaurants,Drinks,Cherry Limeade,530,138,0
A&W Restaurants,Drinks,Cherry Slushee,330,83,0
A&W Restaurants,Drinks,Cherry Slushee,450,112,0
A&W Restaurants,Drinks,Cherry Slushee,570,141,0
A&W Restaurants,Drinks,Cherry Slushee,900,224,0
A&W Restaurants,Chicken,Chicken Strips- 3 pieces,500,32,29
A&W Restaurants,Sides,Chili,190,22,6
A&W Restaurants,French Fries,Chili Cheese Fries,410,52,17
A&W Restaurants,French Fries,Chili Fries,370,49,15
A&W Restaurants,Desserts,Chocolate Fudge Blendrrr,490,68,30
A&W Restaurants,Desserts,Chocolate Fudge Blendrrr,560,92,32
A&W Restaurants,Desserts,Chocolate Fudge Blendrrr,1010,152,59
